Species,Strain,Samples , Ethyl Acetate,Ethanol,"Propanoic acid, ethyl ester",2-Pentanone,Decane,Methyl Isobutyl Ketone,Amylene hydrate,"Butanoic acid, 2-methyl-, methyl ester",Isobutyl acetate,Methyl isovalerate,1-Propanol,Methyl thiolacetate,"Butanoic acid, 2-methyl-, ethyl ester",2-Hexanone,Ethyl isocyanide,"1-Propanol, 2-methyl-","2-Pentanol, 2-methyl-",2-Pentanol,"1-Butanol, 3-methyl-, acetate",1 - Undecene,1-Butanol,2-Heptanone,Dodecane,"1-Butanol, 3-methyl-", S-Methyl 3-methylbutanethioate,"2-Heptanone, 4,6-dimethyl-"," 3-Buten-1-ol, 3-methyl-","Thiocyanic acid, methyl ester",Acetoin,"1-Pentanol, 2-methyl-","Butanoic acid, 3-methyl-, 2-methylbutyl ester","2-Heptanol, 4-methyl-",2-Nonanone ,Acetic acid,2-Nonanol,Pyrrole,"1H-Pyrrole, 2-methyl-","1-Heptanol, 2,4-dimethyl-,",Propanoic acid,"Propanoic acid, 2-methyl-",1-Octanol,2-Undecanone,"Benzoic acid, methyl ester",Butyrolactone ," Decanoic acid, ethyl ester","Acetic acid, decyl ester",2-Undecanol,"Butanoic acid, 3-methyl-",2-Dodecanone,1-Decanol,2-Tridecanone," Dodecanoic acid, ethyl ester","1,4-Butanediol",Phenylethyl Alcohol,"Acetophenone, 2'-amino-",2-Tridecanol,Tetradecanal,1-Dodecanol,Methyl tetradecanoate, 2-Pentadecanone,"Tetradecanoic acid, ethyl ester",Hexadecanal,n-Tridecan-1-ol,1-Tetradecanol,n-Pentadecanol, 1-Hexadecanol,Indole
SA,5,SA.B_BHI_E,0.0,1220898,,500776,0,0.0,0,,,0.0,,188055.0,1013838.0,0.0,,215072,0.0,0.0,101554.0,,,0,,5210015,,,124215,,351127,,,,,1107698.0,,,,,58151.0,0.0,,,,0.0,,,,1770194.0,,,,,0.0,,,,,,,,,,,,,,
SA,4,SA.A_LB_A,0.0,0,,320965,0,68518.0,0,,,0.0,,0.0,0.0,0.0,,53102,0.0,0.0,0.0,,,0,,496920,,,0,,0,,,,,418770.0,,,,,0.0,0.0,,,,254746.0,,,,1351452.0,,,,,100676.0,,,,,,,,,,,,,,
SA,4,SA.A_LB_B,0.0,0,,886309,0,0.0,0,,,0.0,,117584.0,0.0,0.0,,175955,0.0,0.0,0.0,,,0,,1668938,,,60640,,0,,,,,371188.0,,,,,0.0,0.0,,,,163749.0,,,,1194878.0,,,,,73312.0,,,,,,,,,,,,,,
SA,4,SA.A_LB_C,0.0,0,,515572,210972,657995.0,0,,,93385.0,,142709.0,0.0,0.0,,289375,0.0,0.0,0.0,,,0,,2165426,,,76661,,0,,,,,592075.0,,,,,0.0,88915.0,,,,151718.0,,,,2197007.0,,,,,90392.0,,,,,,,,,,,,,,
SA,4,SA.A_LB_D,0.0,0,,868238,209747,801038.0,0,,,0.0,,74742.0,0.0,0.0,,126650,0.0,0.0,0.0,,,0,,1474080,,,76192,,0,,,,,474163.0,,,,,0.0,91503.0,,,,145130.0,,,,1680536.0,,,,,77499.0,,,,,,,,,,,,,,
SA,4,SA.A_LB_E,0.0,0,,0,0,0.0,0,,,79278.0,,153016.0,0.0,0.0,,85438,0.0,0.0,0.0,,,0,,1217896,,,0,,0,,,,,1692269.0,,,,,0.0,97916.0,,,,0.0,,,,2095493.0,,,,,0.0,,,,,,,,,,,,,,
SA,5,SA.B_LB_A,0.0,0,,840146,156567,1309090.0,103953,,,0.0,,202591.0,0.0,0.0,,263104,0.0,0.0,0.0,,,0,,6782307,,,115518,,0,,,,,496592.0,,,,,0.0,0.0,,,,191311.0,,,,2072718.0,,,,,84674.0,,,,,,,,,,,,,,
SA,5,SA.B_LB_B,0.0,0,,1392228,245113,1062848.0,50444,,,0.0,,137363.0,0.0,56785.0,,154327,0.0,0.0,0.0,,,0,,6262223,,,90093,,0,,,,,368583.0,,,,,0.0,0.0,,,,140391.0,,,,1410480.0,,,,,71006.0,,,,,,,,,,,,,,
SA,5,SA.B_LB_C,0.0,0,,785128,66082,1309090.0,105840,,,0.0,,210770.0,0.0,0.0,,309708,0.0,0.0,0.0,,,0,,7761468,,,105557,,0,,,,,458677.0,,,,,0.0,0.0,,,,150201.0,,,,2007991.0,,,,,73337.0,,,,,,,,,,,,,,
SA,5,SA.B_LB_D,0.0,0,,1526229,548037,610468.0,71194,,,0.0,,130858.0,0.0,75813.0,,207946,0.0,0.0,0.0,,,0,,7084113,,,127324,,0,,,,,433399.0,,,,,0.0,0.0,,,,115261.0,,,,1746404.0,,,,,71048.0,,,,,,,,,,,,,,
SA,5,SA.B_LB_E,0.0,0,,0,0,0.0,0,,,0.0,,135461.0,0.0,0.0,,530923,0.0,0.0,0.0,,,0,,13087905,,,0,,0,,,,,2426632.0,,,,,96723.0,245699.0,,,,0.0,,,,2891556.0,,,,,0.0,,,,,,,,,,,,,,
PA,2,PA.A_BHI_A,72782.0,119451,,217717,0,0.0,80981,0.0,0.0,0.0,,83263.0,,,,218656,0.0,360410.0,,1836055.0,0.0,0,0.0,8963819,414750.0,0.0,0,0.0,0,,139532.0,0.0,99765.0,,226327.0,616220.0,596960.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,
PA,2,PA.A_BHI_B,158092.0,0,,449020,0,0.0,295319,0.0,0.0,260184.0,,113029.0,,,,63315,79679.0,0.0,,4758693.0,1342754.0,0,78229.0,5020894,259349.0,0.0,75599,0.0,0,,99188.0,0.0,136543.0,,243982.0,720171.0,534705.0,0.0,,,,105669.0,0.0,,,,119961.0,,,,,,,,0.0,,,,,,,,,,,,
PA,2,PA.A_BHI_C,154266.0,2755630,,2741250,0,0.0,111457,0.0,0.0,138973.0,,221152.0,,,,0,80637.0,250118.0,,3243667.0,1956541.0,328075,128560.0,11793571,519476.0,60571.0,220444,0.0,0,,50123.0,0.0,1245017.0,,236940.0,767151.0,699348.0,0.0,,,,423357.0,0.0,,,,220303.0,,,,,,,,0.0,,,,,,,,,,,,
PA,2,PA.A_BHI_D,165447.0,2864780,,229514,0,0.0,0,0.0,0.0,206705.0,,114655.0,,,,164087,108080.0,213643.0,,2178787.0,2501751.0,0,0.0,13739133,270080.0,0.0,160189,0.0,0,,151978.0,0.0,976709.0,,919278.0,766601.0,513983.0,0.0,,,,653601.0,0.0,,,,822512.0,,,,,,,,62602.0,,,,,,,,,,,,
PA,2,PA.A_BHI_E,257291.0,2979582,,0,0,0.0,0,0.0,0.0,216432.0,,94646.0,,,,218357,0.0,493008.0,,3249923.0,1751337.0,146266,153234.0,12346889,237442.0,90067.0,92165,0.0,155690,,65690.0,0.0,2229916.0,,2173133.0,862790.0,709941.0,0.0,,,,517587.0,0.0,,,,494295.0,,,,,,,,72073.0,,,,,,,,,,,,
PA,3,PA.B_BHI_A,0.0,123501,,405146,552437,0.0,0,0.0,0.0,0.0,,0.0,,,,246595,0.0,528402.0,,1400568.0,0.0,0,0.0,10672383,322861.0,0.0,0,0.0,0,,230084.0,0.0,280508.0,,417596.0,315631.0,436851.0,0.0,,,,332309.0,0.0,,,,458202.0,,,,,,,,146708.0,,,,,,,,,,,,
PA,3,PA.B_BHI_B,245490.0,5398605,,738399,0,0.0,171282,0.0,0.0,331291.0,,0.0,,,,213899,0.0,0.0,,7765793.0,3059172.0,0,0.0,9037455,201412.0,0.0,421872,0.0,204783,,0.0,0.0,2654044.0,,2526340.0,443382.0,520750.0,0.0,,,,834807.0,0.0,,,,1265320.0,,,,,,,,133733.0,,,,,,,,,,,,
