,mean,std,time
2,0.8208333333333332,0.8208333333333332,0.8208333333333332
3,0.8444444444444444,0.8444444444444444,0.8444444444444444
4,0.8333333333333333,0.8333333333333333,0.8333333333333333
5,0.8666666666666666,0.8666666666666666,0.8666666666666666
6,0.8680555555555556,0.8680555555555556,0.8680555555555556
7,0.8791666666666667,0.8791666666666667,0.8791666666666667
8,0.8430555555555556,0.8430555555555556,0.8430555555555556
9,0.8444444444444444,0.8444444444444444,0.8444444444444444
10,0.8097222222222221,0.8097222222222221,0.8097222222222221
11,0.7833333333333333,0.7833333333333333,0.7833333333333333
12,0.8208333333333332,0.8208333333333332,0.8208333333333332
13,0.773611111111111,0.773611111111111,0.773611111111111
14,0.7861111111111111,0.7861111111111111,0.7861111111111111
