,mean,std,time
0.1,0.6111111111111112,0.16234936765077373,0.9216977596282959
0.2,0.7104629629629629,0.14170010149962117,0.7064542531967163
0.3,0.7485185185185185,0.15206002897903168,0.6362263838450113
0.4,0.7673148148148148,0.14116139976111583,0.5997807741165161
0.5,0.7896296296296297,0.14798046464868697,0.5794285488128662
0.6,0.8086111111111111,0.1358173433017199,0.5686722675959269
0.7,0.8067592592592592,0.13384932441578837,0.5657252039228167
0.8,0.8109259259259258,0.13243484987464332,0.5603796482086182
0.9,0.8276851851851852,0.12462782016630086,0.5565222687191433
1.0,0.8234259259259259,0.12007594938395978,0.5529745626449586
